id,booking_code,provider,description,biaya_perjalanan,biaya_tol,biaya_jasa_aplikasi,total_biaya,status,requester_username,created_at,approved_by,approved_at,reimbursed_status
1,RB-2025-001,Grab,Client meeting in CBD,75000,15000,2000,92000,WAITING_APPROVAL,Alice,2025-12-01,,,NOT_REIMBURSED
2,BB-2025-002,Blue Bird,Airport transfer,150000,25000,0,175000,APPROVED,Alice,2025-12-02,Charlie,2025-12-03T10:00:00,REIMBURSED
3,RB-2025-003,Grab,Lunch meeting transport,45000,0,1000,46000,APPROVED,Alice,2025-12-04,Dave,2025-12-05T14:30:00,NOT_REIMBURSED
4,BB-2025-004,Blue Bird,Site visit to Bekasi,200000,30000,0,230000,RETURNED,Alice,2025-12-06,Charlie,2025-12-07T09:00:00,NOT_REIMBURSED
5,RB-2025-005,Grab,Late night taxi home,80000,10000,2000,92000,WAITING_APPROVAL,Bob,2025-12-08,,,NOT_REIMBURSED
6,BB-2025-006,Blue Bird,Meeting with vendor,60000,0,0,60000,APPROVED,Bob,2025-12-09,Dave,2025-12-10T11:15:00,REIMBURSED
7,RB-2025-007,Grab,Urgent document delivery,35000,0,1000,36000,APPROVED,Bob,2025-12-11,Charlie,2025-12-11T16:00:00,NOT_REIMBURSED
8,BB-2025-008,Blue Bird,Team building transport,120000,15000,0,135000,WAITING_APPROVAL,Bob,2025-12-12,,,NOT_REIMBURSED
9,RB-2025-009,Grab,Conference at Hotel Mulia,95000,12000,3000,110000,APPROVED,Alice,2025-12-13,Dave,2025-12-14T09:30:00,REIMBURSED
10,RB-2025-010,Grab,Unknown trip,50000,0,1000,51000,RETURNED,Bob,2025-12-14,Charlie,2025-12-15T10:00:00,NOT_REIMBURSED
